method,fresh_episodes,terminal_success_pct,input_tokens_mean,output_tokens_mean,wire_bytes_mean,ttc_p50_ms,ttc_p95_ms
LEARNED_MIN_FACTOR_MATCHED_0.8B,768,100.0,980.225,19.4,76.625,823.6230779439211,997.3548277281225
SHORT_DSL_GCP_0.8B,768,100.0,948.925,79.1,76.625,2452.5877432897687,2722.5074247457087
